Asset,Quantile,β normal,β extreme (added),β total crash,p-value extreme,R²
Gold,1%,0.0014,-0.0338,-0.0323,0.2487,0.0002
Gold,2%,0.0011,-0.0218,-0.0207,0.3996,0.0001
Gold,5%,-0.0044,-0.0013,-0.0057,0.9567,0.0
Dollar Index (DXY),1%,-0.0389,-0.0116,-0.0505,0.3731,0.0106
Dollar Index (DXY),2%,-0.0391,-0.0072,-0.0463,0.5347,0.0106
Dollar Index (DXY),5%,-0.0388,-0.0063,-0.0451,0.5659,0.0106
US 10Y Treasury,1%,-1.3835,-0.004,-1.3875,0.9789,0.0842
US 10Y Treasury,2%,-1.3025,-0.2999,-1.6023,0.0233,0.0849
US 10Y Treasury,5%,-1.2389,-0.4133,-1.6522,0.001,0.0858
