Model,Recall Crash,Precision,F1-score,ROC-AUC
XGBoost,0.711864406779661,0.5384615384615384,0.6131386861313869,0.9722756576895082
Random Forest,0.3559322033898305,0.7,0.47191011235955055,0.9637815846937714
LSTM,0.2711864406779661,0.11678832116788321,0.16326530612244897,0.7304512841842571
